cod_infracao;des_infracao;des_abreviada;enquadramento;valor;qtd_pontos;tip_medicao;responsavel;fracao;valor_adicional;dat_fimvigencia;dat_iniciovigencia;fk_id_observacao_infracao
"50100";"Dirigir veículo sem possuir CNH ou Permissão para Dirigir                                                                                                                                                                                                                                                                                                                                                       ";"Dirigir veículo sem possuir CNH ou Permissão para Dirigir";"162 I";574.62;7;(null);"C";(null);(null);(null);(null);(null)
"50101";"Dirigir veículo sem possuir CNH                                                                                                                                                                                                                                                                                                                                                                                 ";"Dirigir veículo sem possuir CNH";"162 I";574.62;7;"";"C";(null);(null);"2008-01-22";(null);(null)
"50102";"Dirigir veículo sem possuir permissão para dirigir                                                                                                                                                                                                                                                                                                                                                              ";"Dirigir veículo sem possuir permissão para dirigir";"162 I";574.62;7;"";"C";(null);(null);"2008-01-22";(null);(null)
"50290";"Dirigir veículo com CNH ou Permissão para Dirigir cassada ou com suspensão do direito de dirigir                                                                                                                                                                                                                                                                                                                ";"Dirigir veículo com CNH ou Permissão para Dirigir cassada ou com suspensão do di";"162 II";957.70;7;(null);"C";(null);(null);"2008-01-22";(null);(null)
"50291";"Dirigir veículo com CNH  cassada                                                                                                                                                                                                                                                                                                                                                                                ";"Dirigir veículo com CNH  cassada";"162 II";957.70;7;(null);"C";(null);(null);(null);(null);(null)
"50292";"Dirigir veículo com Permissão para dirigir cassada                                                                                                                                                                                                                                                                                                                                                              ";"Dirigir veículo com Permissão para dirigir cassada";"162 II";957.70;7;(null);"C";(null);(null);(null);(null);(null)
"50293";"Dirigir veículo com CNH, com suspensão do direito de dirigir                                                                                                                                                                                                                                                                                                                                                    ";"Dirigir veículo com CNH, com suspensão do direito de dirigir";"162 II";957.70;7;(null);"C";(null);(null);(null);(null);(null)
"50294";"Dirigir veículo com Permissão para dirigir com suspensão do direito de dirigir                                                                                                                                                                                                                                                                                                                                  ";"Dirigir veículo com Permissão para dirigir com suspensão do ";"162 II";957.70;7;"";"C";(null);(null);"2008-01-22";(null);(null)
"50370";"Dirigir veículo com CNH ou Permissão para Dirigir de categoria diferente da do veículo que esteja conduzindo                                                                                                                                                                                                                                                                                                    ";"Dirigir veículo com CNH ou Permissão para Dirigir de categoria diferente da do v";"162 III";574.62;7;(null);"C";(null);(null);"2008-01-22";(null);(null)
"50371";"Dirigir veículo com CNH de categoria diferente da do veículo que esteja conduzindo                                                                                                                                                                                                                                                                                                                              ";"Dirigir veículo com CNH de categoria diferente da do veículo que esteja conduzin";"162 III";574.62;7;(null);"C";(null);(null);(null);(null);(null)
"50372";"Dirigir veículo com Permissão para dirigir de categoria diferente da do veículo que esteja conduzindo                                                                                                                                                                                                                                                                                                           ";"Dirigir veículo com Permissão para dirigir de categoria diferente da do veículo ";"162 III";574.62;7;(null);"C";(null);(null);(null);(null);(null)
"50450";"Dirigir veículo com validade da CNH vencida a mais de trinta dias                                                                                                                                                                                                                                                                                                                                               ";"Dirigir veículo com validade da CNH vencida a mais de trinta dias";"162 V";191.54;7;(null);"C";(null);(null);(null);(null);(null)
